name	code
Thornhill Solar Flare Annual Service	PRJ24041
Highland Valley Copper - Permitting Support 2024	PRJ24042
Highland Valley Copper - Landfill Relocation Design	PRJ24042B
Fairmont TS - Phase 2 ESA follow up	PRJ24043
Salmon Arm Landfill Phase 3B Expansion Design	PRJ24044
Lillooet Landfill - MW Install Administration	PRJ24045
Islands Landfill DOCP 2024	PRJ24046
Haines Junction Landfill - Entrance Upgrade Phase 1	PRJ24047
Bailey Sanitary Landfill LMH#5 Leachate Analysis	PRJ24048
Woodfibre LNG Construction Laydown	PRJ24049
Layfield Geocomposite Evaluation	PRJ24050
Revelstoke Landfill DOCP Update	PRJ24051
Kruger Inclinometer Well Extensions 2024	PRJ24052
Quesnel Landfill - Strategic Planning	PRJ24052
Devine TS Facility Assessment	PRJ24054
Revelstoke Landfill Flare Annual Service	PRJ24055
SWANA MOLO Delta	PRJ24056
IPS - TteS Arch Office Development	PRJ24057
District of Sechelt Septage Auditor Costing	PRJ24058
Atlantic Power Annual Reporting 2024	PRJ24059
Skway Landfill Support to Headland Environmentals	PRJ24060
